,Elly De La Cruz,Gunnar Henderson,Bobby Witt Jr.,Carlos Correa,Javier BÃ¡ez,Willy Adames,Trea Turner,Ezequiel Tovar,J.P. Crawford,Corey Seager,Jeremy PeÃ±a,CJ Abrams,Dansby Swanson,Francisco Lindor,Anthony Volpe,Xander Bogaerts,Bo Bichette,Zach Neto,Nick Allen,Geraldo Perdomo,Trey Sweeney,Masyn Winn,JosÃ© Caballero,Brayan Rocchio,Mookie Betts,Taylor Walls,Colson Montgomery,Gabriel Arias,Joey Ortiz,Otto Lopez,Jared Triolo,Trevor Story,Brooks Lee,Josh Smith,Chase Meidroth,Isiah Kiner-Falefa,Jacob Wilson
Elly De La Cruz,0.0,0.8452618547447924,0.898488500039913,0.40666890020814295,0.5469385368129824,0.5058128824043859,0.4814322600983041,0.6202245101261845,0.4589377383455796,0.40934667446929973,0.672675188641927,0.6894024096011252,0.5020409155603214,0.6880289022636314,0.7169632409728584,0.45907917284927535,0.4525447640521649,0.5023694480705884,0.585252859010335,0.5460533237896754,0.6393067562509648,0.6187617559924958,0.6955315999236226,0.6566268481732381,0.5118333906758917,0.5463815730986458,0.6739829447294994,0.5304811136272448,0.5326566432752347,0.5991105898723341,0.66236175154144,0.4723798859903635,0.5188620063502537,0.586076830993668,0.48703845395923273,0.42806613651774905,0.4911093478612578
Gunnar Henderson,0.8838643977447924,0.0,0.8861961561417316,0.41813316204408585,0.5590161663008406,0.5151210124870311,0.47348274793218226,0.6323444235377951,0.46916834637026167,0.4200158972955754,0.6898333563212673,0.6820187787457166,0.5134121220453303,0.7266846950112847,0.7077400950410015,0.46882906311243444,0.46345457729603423,0.5111519593332965,0.5903557428449296,0.5510239695855915,0.6481595279762584,0.630060049127874,0.7148603703194736,0.6692977447748845,0.5206841181135066,0.5600120850592123,0.6836540012851199,0.5394116253458605,0.5406253642951557,0.6095084775898731,0.6684482518228245,0.4641778139106024,0.5295780941671637,0.597376095979639,0.49180189360562504,0.4369046899210456,0.4958994712941104
Bobby Witt Jr.,0.884169006039913,0.8332741191417317,0.0,0.4104796078683698,0.5568688558282535,0.5164609553072851,0.46943168573845884,0.6285413107505138,0.4590711781609156,0.4158804127260841,0.6785757153532267,0.6717547481780712,0.5141335665324549,0.6882844142352176,0.7008430297326046,0.4571452261589383,0.4537691666049558,0.5111715466794805,0.5818234067552385,0.5425247560506553,0.6471346841475667,0.6162543563484666,0.6979883954298537,0.6570610048935004,0.5091541191172619,0.5450693885858171,0.6836827898038969,0.5396703225308173,0.529175756333554,0.5945590229309292,0.6416330899999609,0.4599953083638658,0.5208804418404054,0.5847420857024366,0.48358419195602287,0.4250939138819092,0.4877126173019779
Carlos Correa,0.662599968708143,0.6354616875440858,0.6807301703683697,0.0,0.6242747613705666,0.5664865153123346,0.3937012272854904,0.7305245757527732,0.5911428780565174,0.5660260524022722,0.7478971910495049,0.579305352365304,0.5445214717918421,0.5322746759326301,0.6083750967760062,0.5397428758439617,0.619316196607221,0.5899974216407312,0.6118203192591256,0.5704781605144077,0.7458443316807435,0.6892337777358898,0.7370369067734077,0.7880172209048215,0.5746453189812663,0.6297261024680324,0.7522480661498014,0.6126512105293727,0.5779225248847024,0.6346143561374047,0.5460184807555626,0.3822010229277739,0.7129640868002243,0.6812417744993033,0.5106159163526576,0.4856800369417071,0.5155191444439766
Javier BÃ¡ez,0.6936591433129824,0.6671342298008406,0.7179089563282535,0.5150642993705665,0.0,0.6778414930728357,0.40200943292586455,0.819163911020391,0.5100798704990699,0.5681673953924279,0.7666831795659634,0.5884995716871866,0.675277790220471,0.5652106029940087,0.6184986093964626,0.4850050478964534,0.5193732715687762,0.66714889973745,0.5856195563447435,0.5452430375956354,0.7984771654771761,0.6398098601603145,0.7369382652621246,0.7118316798936506,0.52860930097514,0.5787672766360552,0.8584028756841009,0.699361328311846,0.5401830223591284,0.6000410332864701,0.5547041365947492,0.3907969198908491,0.5973694703135308,0.6200207270654332,0.48612692696799176,0.44196436272256867,0.49071893130330385
Willy Adames,0.6807490169043859,0.6514546039870311,0.7057165838072851,0.4854915813123347,0.7060570210728357,0.0,0.39478358766153726,0.76489589317282,0.48864024606587186,0.5435587316349997,0.720494548717231,0.5784555244881382,0.6621357187533761,0.5461745450322347,0.6096002091176889,0.46572533661552024,0.495136615814059,0.7022156167963849,0.5747842644117733,0.534562825987173,0.8148345369045424,0.6179601264704755,0.7002373179647974,0.6839901480204609,0.5113006633374833,0.5518444911620799,0.8933959418253044,0.7406150128964042,0.5245209606942927,0.580733698043169,0.5390306095274477,0.3834320468372273,0.5731126133583513,0.5972177138954504,0.4758132464330628,0.42472730180058915,0.4803973685685876
Trea Turner,0.6878174985983041,0.6412654434321823,0.6901364182384588,0.3441553972854905,0.4616740649258646,0.42623269166153727,0.0,0.5404830765897926,0.41246644164525,0.34084427970852205,0.5816014518845725,0.7560765196179312,0.4110226205379489,0.5144982668662296,0.821714481147889,0.4203125249749319,0.3999750504896952,0.4315892761201079,0.5769501215681808,0.5389749006800274,0.5721226276154889,0.5732325395986136,0.6032103365566238,0.5981062870227736,0.47963997665091995,0.48691496710307114,0.5970417068782395,0.4577341471216181,0.507414399690263,0.562023828711045,0.5983707131386122,0.6970066027737388,0.46486108374410384,0.5381127668282458,0.4809740422801987,0.39666369517130273,0.4846384721198125
Ezequiel Tovar,0.6855142771261845,0.6590316475377951,0.7081505717505139,0.5398832742527733,0.7377330715203909,0.65524952567282,0.39938760508979254,0.0,0.5235218162363292,0.5998396672169349,0.7730957824386289,0.5856245271501248,0.6379774321834,0.5571264895897232,0.6154093029746962,0.4943212178789917,0.5357360276754348,0.6647675496106047,0.5900284093362386,0.5494800363276502,0.8069618808820772,0.6485547773265554,0.7411400858068218,0.7257610355146769,0.5364319579144351,0.5887217094028085,0.8448034797930459,0.692778270384774,0.5465779466522396,0.6061034776755347,0.5521042372932811,0.3881019949038652,0.6159311171772832,0.6306967878955811,0.4902411976635512,0.44940486869295093,0.4948907206563733
J.P. Crawford,0.6479223913455796,0.6195504563702616,0.6623753251609156,0.5241964625565174,0.5523439169990698,0.5026887645658719,0.39506585614524997,0.6472167022363292,0.0,0.4670460569643464,0.6923645439800001,0.5807684357792938,0.4836033517438129,0.5140512733227853,0.6088638445701415,0.6327051754784203,0.6647120916013609,0.5202053523443544,0.6539456264284963,0.6111562810772184,0.6707913493290678,0.75958304555353,0.7085331146397529,0.8236649223769746,0.6526650257721329,0.6676771970675333,0.682684144116888,0.5438452970964907,0.6413104132965066,0.6871065321118948,0.5472332122421063,0.383400423933984,0.7003762696622071,0.7677461020852936,0.5498207178235132,0.5592501870807762,0.5551160020482089
Corey Seager,0.6657239279692998,0.6377906077955755,0.6865771602260842,0.5664722374022721,0.677824042392428,0.6249998506349997,0.3908362947085221,0.7909271537169349,0.5344386574643465,0.0,0.7431938798325619,0.575035299232638,0.5905883709277209,0.5340056284002842,0.6051611167322527,0.4984789027997479,0.5499130365870568,0.6597126797951667,0.5915360916625452,0.5507600583982606,0.821583795888676,0.6489772853052399,0.7197668733742177,0.7296951859430632,0.5393922494265208,0.5861384905568079,0.8184185237186103,0.6805835939471033,0.5481121659645636,0.6038143038018793,0.538452096200964,0.37935500616037,0.6355844172493446,0.6339810053539918,0.49155659854849454,0.45164630551197993,0.49631681050056164
Jeremy PeÃ±a,0.7142675961419269,0.6928232208212672,0.7344876168532266,0.5335585300495049,0.6615549805659635,0.5871508217172309,0.4168086208845724,0.7493984229386288,0.5449722984800001,0.5284090338325618,0.0,0.6091951953473425,0.5898265598910633,0.596948123323563,0.6366178921473032,0.522460517017798,0.5544233104839167,0.5885733885410633,0.606956122619712,0.5663635689479688,0.7306009465277732,0.6856809456762372,0.8296816019315305,0.7643001359419284,0.5629398353328361,0.6375638004389201,0.7652167747898011,0.6164332943556914,0.5719699011864248,0.6422703381360145,0.5880376270109824,0.40586014929823755,0.6256056616207546,0.665173295834794,0.5064418754222475,0.47666773498256526,0.5109947249395704
CJ Abrams,0.7332024361011251,0.6872162622457166,0.7298742686780713,0.36717431036530396,0.48557899168718666,0.4473194164881381,0.5934913076179311,0.5641347866501248,0.43558380927929385,0.3624580722326379,0.6114028143473424,0.0,0.4348429267632822,0.5586590458353475,0.8704749742161404,0.44491524556069184,0.4233819003779957,0.4513274101945631,0.5933179231270753,0.5551241796592569,0.5916069235249797,0.6014208416145224,0.6369418260545813,0.6249783163970452,0.5036107201479384,0.5170896550039548,0.6181526387676939,0.47779658103410305,0.5309118375182733,0.5923222555675351,0.668822596820592,0.5878928456663409,0.48745114986989835,0.564674436083092,0.49640830829534727,0.4210860124243916,0.5000632092762869
Dansby Swanson,0.7019452120603213,0.6747138755453302,0.7283573570324549,0.48849469979184207,0.728461480220471,0.687103880753376,0.40454167853794887,0.7725919616834,0.4945229952438129,0.5341154139277208,0.7481384488910632,0.5909471967632821,0.0,0.5718666206926135,0.6213680546960781,0.47352817611153697,0.5008017633680859,0.6551085640437837,0.5800207031261075,0.5398350451920368,0.7789158039065838,0.6284055920332535,0.7251786411362772,0.6946477634501731,0.5188310331043036,0.5652061094851742,0.8479687604282744,0.6898534058211719,0.5320068457712244,0.591596080591328,0.5558675238410009,0.3933995614905248,0.5768799984090317,0.6066966326935108,0.4808843256330898,0.43255738097000357,0.4854172523211861
Francisco Lindor,0.8433841057636314,0.8434373555112847,0.8579591117352174,0.43169881093263013,0.5738451999940086,0.5265936140322347,0.46346823186622954,0.6471919260897232,0.4804218238227853,0.4329835784002842,0.710710919323563,0.6702142228353476,0.5273175276926135,0.0,0.6952650938032463,0.47886301918661517,0.47579853685393825,0.5219812589610273,0.5947729506324654,0.5552675861788565,0.6590346390785988,0.6416280441519211,0.737725677243673,0.683478849902428,0.5294441525917657,0.5747149470307087,0.6955648993181123,0.5504272146769735,0.548117278271377,0.619228480883858,0.6638790684760804,0.4538396176143292,0.5418915603390938,0.609381388623885,0.49585049706020845,0.4455431292915033,0.49999529855972014
Anthony Volpe,0.7244632409728584,0.6766375520410015,0.7226625237326045,0.35994402827600624,0.4792780028964627,0.4421640746176888,0.622829242647889,0.5576195359746962,0.4273791915701416,0.3562838632322527,0.6025254846473033,0.8341749477161404,0.4289637581960782,0.5474098903032463,0.0,0.4355824600919631,0.41539305332333165,0.4462927930089492,0.5858452543976155,0.5476667525443587,0.5864582248959127,0.5908544702776275,0.6263408141803279,0.615716826112839,0.4941813547181436,0.5063907973748989,0.612797526716752,0.4727231383751022,0.521281428863368,0.5803605275199695,0.6438567884826097,0.6192785576557209,0.47993061963879974,0.5549732792851858,0.48920897761286447,0.4114057072378959,0.49289713809787794
Xander Bogaerts,0.6486366413492753,0.6197839886124344,0.6610221886589382,0.4733692758439617,0.5278419098964534,0.4803466706155202,0.40348475497493186,0.6185889193789917,0.6332779909784203,0.43165911779974786,0.6704255780177981,0.5906726875606918,0.463181348111537,0.5130652841866152,0.6176399285919631,0.0,0.5844529403461249,0.4944838474332599,0.689940339997541,0.6463357541217825,0.642358027608412,0.8117388819114707,0.6959617017292434,0.7835311837745482,0.7372826658387944,0.6684019215676318,0.6580992916235419,0.5188408140117329,0.7085024411141274,0.743823990963369,0.5583636345851055,0.39180637077496216,0.6290209248520802,0.7843518261823192,0.5830798661548959,0.64090032312501,0.5883958533696196
Bo Bichette,0.6540296170521649,0.6263368872960342,0.6695735136049559,0.5648699811072211,0.5741375180687762,0.5216853343140591,0.39507466498969523,0.6719311136754348,0.6772122916013609,0.4950206360870569,0.7143157559839168,0.5810667268779958,0.5023823198680859,0.5219281863539382,0.6093779063233317,0.5963803248461249,0.0,0.5406020210050726,0.6376171953230748,0.595435921423523,0.692592228754739,0.7375069059529736,0.7242851547591371,0.8387932177599922,0.6220195677548048,0.6664695896272925,0.703168470148348,0.5640067332597636,0.6167619557235724,0.669796612484466,0.548466568135842,0.38348484038219494,0.7523513094200118,0.7415334218539217,0.5346825825231476,0.5307289921996006,0.5398083876363589
Zach Neto,0.6649288505705884,0.6351088188332965,0.6880504431794805,0.49662575564073125,0.6829876957374499,0.689838884796385,0.3877634401201079,0.7620371851106047,0.49378010184435445,0.5658948287951666,0.7095403835410634,0.5700867861945631,0.6177636700437836,0.5291854579610273,0.6013521955089491,0.4674857814332599,0.5016765705050726,0.0,0.5751994662741127,0.5348409024176857,0.8685620754651668,0.6177664202982782,0.6902271288777899,0.6858847916694524,0.5124236635326864,0.5504167020722671,0.8822518392199585,0.7759884097651545,0.5248482623598372,0.578911291275794,0.5290955283102347,0.37626119924459345,0.5820326198848724,0.5985590398876229,0.4761264645209168,0.4254490769566335,0.4807800873804567
Nick Allen,0.608969075510335,0.5754694163449297,0.6198591172552385,0.3796054672591257,0.46261516634474353,0.4235643464117733,0.3942810995681808,0.5484548588362386,0.4886771899284963,0.3588750546625452,0.5890799316197121,0.5732341131270754,0.40383262312610757,0.4631339636324654,0.6020614708976155,0.5240990879975411,0.45984855882307474,0.43635628027411266,0.0,0.8489990790739366,0.5818459248723453,0.6542341832222885,0.6108757852188347,0.6516968099214704,0.6070455019146563,0.5386138051774318,0.5986052754336333,0.46088115594214557,0.661421201356098,0.6493016232531087,0.5223308330913733,0.3818771013198441,0.5179665282457602,0.6153651966163929,0.77580141811057,0.5255294411453979,0.7832934902331303
Geraldo Perdomo,0.6085263987896754,0.5748945015855915,0.6193173250506553,0.3770201670144077,0.4609955060956355,0.42209976648717296,0.3950627371800274,0.5466633443276503,0.48464470307721835,0.35685587989826056,0.5872442364479689,0.5737972281592569,0.4024038236920368,0.4623854576788566,0.6026398275443586,0.5192513606217826,0.4564241434235229,0.43475457491768565,0.8877559375739366,0.0,0.580125299647746,0.6505755127025595,0.6090792672372171,0.6485703077449598,0.6014610570772259,0.5357429343886133,0.5970394072357431,0.4593088929579202,0.6555665764101258,0.6464232766786135,0.5222568799720524,0.38263254240482303,0.514783223555022,0.6115385643512252,0.7885824550804454,0.5201292657222218,0.7920029365523056
Trey Sweeney,0.6589689187509647,0.6292191474762583,0.6811163406475667,0.5095754256807434,0.6714187214771761,0.6595605649045424,0.3853995516154889,0.7613342763820772,0.5014688588290677,0.584868704888676,0.7086707015277731,0.5674690595249797,0.5986736699065838,0.5233415980785989,0.5986203873959126,0.4724627216084119,0.510769538254739,0.7256648354651669,0.5777918708723453,0.5373143871477459,0.0,0.6218085649565993,0.689647341377563,0.6921087459511179,0.5166474243888468,0.5542995931810804,0.8544637097332293,0.737156350606474,0.5282614870412388,0.5815140063064304,0.5264613441136511,0.37384193302792423,0.5928845763697563,0.6037724416948285,0.4785519336001187,0.42939093704617826,0.483252158974437
Masyn Winn,0.6657893814924958,0.6384851316278739,0.6776014758484665,0.4803303347358898,0.5401168791603146,0.49005161747047543,0.4138749265986136,0.6302926358265555,0.61762601805353,0.4396276573052399,0.6911161636762372,0.6046484406145223,0.47552892103325356,0.5333004661519212,0.6303820957776275,0.6692090389114707,0.5830496784529736,0.5022346432982782,0.6775455922222886,0.6351300632025596,0.6491740279565994,0.0,0.723238842667587,0.8028450087401158,0.7002339740387893,0.7113769412028419,0.6674827225378831,0.5270837763563389,0.6908401789916481,0.7750932453551844,0.579234306949894,0.4024307050168055,0.628564018825357,0.8012482616954015,0.5721451863490725,0.6143468389442924,0.5769928200384926
JosÃ© Caballero,0.7255831744236225,0.7063094018194735,0.7423594639298536,0.5111574127734078,0.6202692332621246,0.5553527579647974,0.4268766725566238,0.7059018933068217,0.5496000361397528,0.4934411943742178,0.8181407689315305,0.6231933740545813,0.5553259191362772,0.6124220482436731,0.648892388680328,0.5364558077292435,0.552851876259137,0.55771930087779,0.6172111432188347,0.576657766737217,0.700036753377563,0.706262791667587,0.0,0.7739597553290269,0.5775245093096484,0.6627783105431349,0.7315356117677752,0.585057876468105,0.5870268979682702,0.6655135154840409,0.6106814359328385,0.4161080690598721,0.6176584066968085,0.6809015288717802,0.5163094230185523,0.4921350937771149,0.5207733692577251
Brayan Rocchio,0.6713518791732381,0.6454202327748844,0.6861055298935004,0.5468111834048216,0.5798361043936506,0.5237790445204609,0.40644607952277356,0.675196299514677,0.6494053003769746,0.4880429634430631,0.7374327594419284,0.5959033208970452,0.5094684979501731,0.542848677402428,0.6229418571128389,0.6086987462745481,0.6520333957599922,0.5380504201694523,0.6427056244214704,0.6008222637449598,0.687171614451118,0.7705424142401157,0.758633211829027,0.0,0.63362866604721,0.7233622822236218,0.7038094659374524,0.5625880192219156,0.6289329168398021,0.6976400448169948,0.5698700674219992,0.39506451553083755,0.6966222343162988,0.7717354115019337,0.5395960191024544,0.5443393599769466,0.5445053636961874
Mookie Betts,0.6430516911758917,0.6132998756135066,0.6546919136172619,0.4499325509812663,0.5131069949751401,0.46758282933748324,0.40447303865092,0.6023604914144352,0.594898673272133,0.41423329642652074,0.6525657283328361,0.5910289941479384,0.45014503710430365,0.5053072495917658,0.6178996552181436,0.6789434978387945,0.5517530152548049,0.4810825615326864,0.7145475859146563,0.6702062825772259,0.6282035623888469,0.7844246490387894,0.6786912353096484,0.75012193554721,0.0,0.6404817215189601,0.6445343416164699,0.5055463082857646,0.7550812648332812,0.7522974806294447,0.5563328223787891,0.392698062032721,0.6003610749299828,0.7408781206060762,0.6056092873860283,0.6944240785571,0.6110114581855532
Taylor Walls,0.6828941115986458,0.6579220805592123,0.6959014210858172,0.5103075724680324,0.5685592086360552,0.5134208951620799,0.41704226710307113,0.6599444809028086,0.6152050825675333,0.4662737755568079,0.7324839314389202,0.6098021670039547,0.5018143514851743,0.5558722820307087,0.6354033358748988,0.6153569915676318,0.6014972751272925,0.5243698380722671,0.6514101271774319,0.6097823978886132,0.6711499691810803,0.8008618542028418,0.7692392745431349,0.8451497897236218,0.64577595951896,0.0,0.6915043479752483,0.5496083927721778,0.644282958499341,0.7313565712199666,0.5898797066352663,0.40582067669346483,0.6498219254936511,0.7775456293339553,0.5480159098392221,0.5593236300440101,0.5527212933509524
Colson Montgomery,0.6766516322294993,0.6477201457851198,0.7006709713038969,0.4989856851498014,0.7143509566841009,0.7211284948253043,0.3933251558782396,0.7821824002930459,0.49636817861688803,0.5647099577186103,0.726293054789801,0.5770212997676938,0.6507331514282744,0.5428783833181123,0.607966214216752,0.4712105106235419,0.504352304648348,0.7223611242199586,0.5775577464336333,0.5372350197357432,0.8374702347332292,0.6231237845378831,0.7041527247677751,0.6917531224374525,0.5159847286164698,0.5576604969752483,0.0,0.7599994232979874,0.5284186251424379,0.5844794146677319,0.5381402832117828,0.38193749066717964,0.5836043093182364,0.6033850486075579,0.4784139765419373,0.4291996068149884,0.4830323947857914
Gabriel Arias,0.6685203636272448,0.6388483323458605,0.6920290665308172,0.49475939202937264,0.6906799718118461,0.7037181283964042,0.3893881586216181,0.7655277533847741,0.49289989409649065,0.5622455904471033,0.7128801368556914,0.5720358045341031,0.6279883593211719,0.5331112611769736,0.6032623883751023,0.46732259551173283,0.5005611302597635,0.7514682572651545,0.5752041894421456,0.5348750679579203,0.855533438106474,0.6180954008563389,0.693045551968105,0.6859022382219155,0.5123672577857646,0.5511351042721777,0.8953699857979873,0.0,0.5249441433924967,0.5795533742076838,0.5314563814393095,0.3779203008059515,0.5803904844134853,0.5985665984816865,0.4761478765098136,0.4254824388158922,0.4807856421375964
Joey Ortiz,0.6390480002752347,0.6084141782951558,0.649886607333554,0.4283828133847024,0.49985377285912846,0.4559761831942927,0.40742051819026304,0.5876795366522396,0.5587171172965066,0.39812626946456364,0.6367688506864249,0.5935031680182733,0.4384939062712244,0.49915343177137705,0.6201727858633681,0.6253363296141274,0.5216684597235725,0.46868021685983713,0.744096341856098,0.6994848584101259,0.6149906815412388,0.750203910491648,0.6633666804682702,0.7205992428398023,0.7302543213332813,0.614161776999341,0.632141294642438,0.4932962503924968,0.0,0.7485645220791552,0.556224728429675,0.3955504909333668,0.5735765653872469,0.7019034477682389,0.6328707451461592,0.6571043339154383,0.6380572636308893
Otto Lopez,0.6680312758723341,0.639826620589873,0.6777992029309292,0.4476039736374048,0.5222411127864701,0.474718249543169,0.42455927621104494,0.6097343966755348,0.5670425651118949,0.4163577363018792,0.6695986166360146,0.6174429150675351,0.460612470091328,0.5327939633838581,0.6417812135199694,0.6231872084633692,0.5372324454844659,0.485272574775794,0.6945060927531087,0.6528708876786136,0.6307725298064304,0.7969863058551844,0.704382626984041,0.7518356998169948,0.6899998661294446,0.6637647187199665,0.6507314131677319,0.5104348102076839,0.7110938510791553,0.0,0.5930352524524971,0.41314089896047246,0.5882324997874048,0.7306218785887093,0.5888573602409461,0.6141997614631443,0.5932120676139041
Jared Triolo,0.77633839204144,0.7438223493228245,0.7699292244999609,0.40406405275556256,0.5219601705947492,0.47807111552744774,0.5059621151386122,0.6007911107932811,0.4722251997421063,0.396051483200964,0.6604218600109825,0.7389992108205921,0.46993986784100095,0.6225005054760804,0.7503334289826098,0.48278280658510553,0.46095835563584203,0.48051276631023465,0.6125912570913733,0.5737604454720524,0.6207758221136511,0.6461833219498939,0.6946065019328385,0.6691216769219992,0.5390911623787891,0.5673438086352662,0.6494482362117827,0.5073937719393095,0.563810011929675,0.6380912069524971,0.0,0.4972189869511335,0.5236084001654634,0.6072106313589438,0.5139859858490559,0.4569822201995014,0.5177680914444853
Trevor Story,0.6918899699903636,0.6450853549106024,0.6938248863638659,0.34578003842777394,0.4635863973908491,0.42800599633722736,0.7101314482737389,0.5423223119038652,0.413925854933984,0.34248783666036997,0.5837778257982376,0.7636029031663409,0.41300534899052477,0.5179944981143293,0.8312886416557208,0.4217589862749622,0.4015100713821949,0.43321188074459344,0.577670968819844,0.5396695514048231,0.5736898545279242,0.5749131635168054,0.6055665785598721,0.5998495685308376,0.480989845532721,0.4888182221934648,0.5987788871671796,0.4593911348059515,0.5086692179333667,0.5637302969604725,0.6027524304511335,0.0,0.4663777720055189,0.5397403049424847,0.481621951045843,0.3980266815733272,0.4852914079245998
Brooks Lee,0.6524022503502537,0.6245157951671638,0.6687401798404053,0.5905732623002242,0.5841891078135308,0.5317167228583513,0.3920160892441038,0.6841815941772831,0.6449318606622071,0.5127474077493446,0.7175534981207546,0.5771913673698984,0.5105159459090317,0.5200766008390938,0.6059708636387997,0.5730037003520801,0.6844067004200118,0.5530134613848723,0.6277905557457601,0.585850392555022,0.7067626578697563,0.715076637325357,0.7211470761968084,0.8154374473162987,0.6026830184299827,0.6468496309936511,0.7144758658182364,0.5758914784134852,0.6007254523872468,0.6528520577874047,0.5431720036654634,0.3804079320055189,0.0,0.7144939479438217,0.5255159290017322,0.5120127243772841,0.5306074797535604
Josh Smith,0.661756949493668,0.6344536714796389,0.6747416982024366,0.5009908244993033,0.5489802390654333,0.49796169789545036,0.4074076468282458,0.6410871393955813,0.6544415675852936,0.45328387035399176,0.699261006834794,0.596554528083092,0.48247245469351085,0.529706303623885,0.6231533977851857,0.6704744761823194,0.6157286873539216,0.5116797558876229,0.6673290986163929,0.6247456078512252,0.6597903976948285,0.8299007546954016,0.7265300728717803,0.8326904990019337,0.6853399386060762,0.7167132093339553,0.676396479607558,0.5362074669816864,0.6711922092682387,0.7373813110887093,0.5689141093589438,0.39591033944248466,0.6566338224438217,0.0,0.5624191510892321,0.5947879061512042,0.567449583522466
Chase Meidroth,0.6055564774592327,0.571717374105625,0.6164217094560228,0.3732028713526575,0.45792434396799175,0.4193951354330627,0.39310682728019863,0.5434694541635512,0.4793540883235131,0.35369736854849454,0.5833674914222475,0.5711263052953472,0.3994980526330898,0.4590133170602084,0.6002270011128644,0.5120404211548959,0.45171575302314754,0.43208508552091673,0.87060322511057,0.8446274035804453,0.5774077946001187,0.6436355843490724,0.6047758720185522,0.6433890116024543,0.5929090103860282,0.5300213948392221,0.5942633125419372,0.4566266500098135,0.6449974116461591,0.6384546977409461,0.5185273688490558,0.38062989054584295,0.5104937085017321,0.6052570560892321,0.0,0.5112194691978196,0.8083724306207569
Isiah Kiner-Falefa,0.6445282550177491,0.6147642654210457,0.6558755263819092,0.44621108694170714,0.5117058747225688,0.4662532858005891,0.40674057517130274,0.6005772201929509,0.5867276525807763,0.41173117051197994,0.6515374459825654,0.5937481044243916,0.4491152029700036,0.5066500442915034,0.620367825737896,0.66780497312501,0.5457062576996006,0.47935179295663355,0.7182753431453979,0.6741183092222218,0.6261908930461784,0.7837813319442924,0.6785456377771149,0.7460764474769467,0.7796678965571,0.6392732100440102,0.6429930378149884,0.5039053073158922,0.7671750954154383,0.7617411939631442,0.5594676981995015,0.39497871607332724,0.5949345988772841,0.7355699061512042,0.6091635641978197,0.0,0.6144283810220965
Jacob Wilson,0.6052603928612579,0.5714479732941103,0.6161831563019778,0.37373912094397665,0.4581493698033039,0.4196122790685876,0.3924042786198125,0.5437519986563734,0.4802823940482088,0.35409060200056164,0.5835533624395705,0.5704142277762869,0.39966400082118614,0.4587911400597201,0.5995481830978779,0.5129894298696196,0.45247457963635884,0.4323717298804567,0.8737283187331303,0.8436809065523057,0.5777410414744371,0.6441162395384927,0.6048728397577251,0.6439313776961875,0.5939442026855533,0.5303597998509525,0.5945147522857914,0.4568974371375964,0.6458169516308894,0.6384424266139042,0.5179424959444854,0.3799323689245998,0.5112182807535604,0.605920510022466,0.804005452120757,0.5121173075220964,0.0
